price,address,rooms,baths,area,image,status
2.580,"Av. Vicuña Mackenna, 7801, La Florida",2,1,43,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/ee912455-af7e-4dfb-8824-8a2859db7c5c_718A2506-HDR.jpg,Reservado
1.990,"Raulí, 596, Santiago",1,1,32,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/4483053e-030d-4f38-b3dc-97c1b5b49bc7_718A3629-HDR.jpg,Disponible
2.310,"Av. Hipodromo Chile, 1876, Independencia",1,1,37,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/c5b76cf2-e6be-4a4d-865b-c254c746a20c_Foto%201%20Cocina%20Dp%202008%20Edificio%20Activa%20Hipodromo.jpg,Disponible
2.650,"San Isidro, 520, Santiago",2,1,49,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/93c250c8-a036-4db5-b99e-784c80f9ddb0_718A4614-HDR.jpg,Disponible
2.230,"Santa Rosa, 325, Santiago",1,1,45,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/47ee012e-39b4-4f59-978f-80a325cc45b0_718A3670-HDR.jpg,Disponible
2.160,"Leonor Cepeda, 952, Independencia",1,1,32,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/510e2e79-c322-4f0c-8912-17eae2cd82c9_718A1990-HDR.jpg,Disponible
1.960,"El Parrón, 103, La Cisterna",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/758d496b-a5f9-41d4-9806-65b7fc268f9c_718A2143-HDR.jpg,Disponible
2.075,"Presidente Balmaceda, 2170, Santiago",1,1,32,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/a8cf8227-df66-4141-af1a-52538b3a7ff0_718A4001-HDR.jpg,Disponible
2.050,"Carmen, 644, Santiago",1,1,36,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/656e2f5c-d3a1-493e-b3d7-3e071e65264a_718A4586-HDR.jpg,Disponible
2.550,"San Pablo, 1503, Santiago",2,1,46.38,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/09b96e13-63d1-4401-b5bb-de9d53608823_WhatsApp%20Image%202025-08-11%20at%203.56.45%20PM%20(2).jpeg,Disponible
2.607,"Briones Luco, 0212, La Cisterna",2,1,49,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/11dde655-9e33-41b3-b690-feabd0cb4ed8_WhatsApp%20Image%202025-08-11%20at%2010.10.41%20PM%20(5).jpeg,Disponible
2.190,"San Martin, 733, Santiago",1,1,32,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/a3bae1ee-fa9d-48c9-bacc-bb89ccdc9f3f_718A4653-HDR.jpg,Disponible
2.760,"Amunategui, 695, Santiago",2,2,51,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/f0999de8-7dea-4311-af77-f5df531478d4_718A4549-HDR.jpg,Disponible
2.010,"Villasana, 1451, Quinta Normal",2,1,50,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/72ba54cc-c4f8-4d50-ba6a-0e05c135889c_718A2952-HDR.jpg,Reservado
2.085,"Vicuña Mackenna, 7492, La Florida",1,1,36,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/1c615598-f5e5-439b-8fc8-393933739067_Entrada_Cocina.jpeg,Reservado
1.850,"San Pablo, 1503, Santiago",1,1,29,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/22e67bab-4c4d-47ef-8fb8-d29ace16cf57_718A4701-HDR.jpg,Disponible
1.950,"Santa Isabel, 489, Santiago",1,1,31,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/4f5a50d3-88d0-4974-95a0-cdacd30bfdf1_718A7027-HDR.jpg,Reservado
2.570,"Avenida Quilín, 107, Macul",1,1,41.88,https://prod-buydepa-public.s3.us-east-1.amazonaws.com/core/sales/files/867f883e-0c4e-414c-97b8-9fc0071d1fbe_718A8547.jpg,Disponible
